index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
0,00000000000000,X,,,,496901,210706,489.0,500.0,484.0,93334.0,44.3
1,01000000000000,C,,,Alameda,16978,8855,516.0,536.0,517.0,4900.0,55.34
2,01100170000000,D,,Alameda County Office of Education,Alameda,398,88,418.0,418.0,417.0,14.0,15.91
3,01100170109835,S,FAME Public Charter,Alameda County Office of Education,Alameda,62,17,503.0,546.0,505.0,9.0,52.94
4,01100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,75,71,397.0,387.0,395.0,5.0,7.04
5,01100170118489,S,Aspire California College Preparatory Academy,Alameda County Office of Education,Alameda,61,0,,,,,
6,01611190000000,D,,Alameda Unified,Alameda,922,544,521.0,546.0,519.0,333.0,61.21
7,01611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,36,36,562.0,590.0,555.0,29.0,80.56
8,01611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,12,6,,,,,
9,01611190130229,S,Alameda High,Alameda Unified,Alameda,465,325,543.0,573.0,543.0,229.0,70.46
10,01611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,26,20,575.0,593.0,581.0,16.0,80.0
11,01611190130625,S,Alternatives in Action,Alameda Unified,Alameda,41,23,352.0,350.0,343.0,1.0,4.35
12,01611190132878,S,Encinal High,Alameda Unified,Alameda,238,132,483.0,504.0,476.0,56.0,42.42
13,01611190134304,S,Island High (Continuation),Alameda Unified,Alameda,100,2,,,,,
14,01611270000000,D,,Albany City Unified,Alameda,289,178,572.0,599.0,574.0,136.0,76.4
15,01611270130450,S,Albany High,Albany City Unified,Alameda,273,178,572.0,599.0,574.0,136.0,76.4
16,01611430000000,D,,Berkeley Unified,Alameda,885,490,566.0,562.0,559.0,337.0,68.78
17,01611430122697,S,REALM Charter High,Berkeley Unified,Alameda,76,36,384.0,360.0,386.0,2.0,5.56
18,01611430131177,S,Berkeley High,Berkeley Unified,Alameda,741,450,583.0,580.0,574.0,335.0,74.44
19,01611430134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,59,4,,,,,
20,01611500000000,D,,Castro Valley Unified,Alameda,755,438,527.0,556.0,524.0,273.0,62.33
21,01611500132225,S,Castro Valley High,Castro Valley Unified,Alameda,688,438,527.0,556.0,524.0,273.0,62.33
22,01611680000000,D,,Emery Unified,Alameda,47,23,420.0,433.0,441.0,6.0,26.09
23,01611680132746,S,Emery Secondary,Emery Unified,Alameda,47,23,420.0,433.0,441.0,6.0,26.09
24,01611760000000,D,,Fremont Unified,Alameda,2511,1537,586.0,626.0,599.0,1215.0,79.05
